ID,Name,Description,CLTS_ID,CLTS_BIPA,CLTS_Name
sh_u0073u02B0,sʰ,,aspirated voiceless alveolar sibilant fricative consonant,sʰ,aspirated voiceless alveolar sibilant fricative consonant
i_u0069u0303,ĩ,,nasalized unrounded close front vowel,ĩ,nasalized unrounded close front vowel
nd_u006Eu0064,nd,,pre-nasalized voiced alveolar stop consonant,ⁿd,pre-nasalized voiced alveolar stop consonant
w_u026Fu0303,ɯ̃,,nasalized unrounded close back vowel,ɯ̃,nasalized unrounded close back vowel
j_u025Fu0330,ɟ̰,,creaky voiced palatal stop consonant,ɟ̰,creaky voiced palatal stop consonant
l_u006Cu02D0,lː,,long voiced alveolar lateral approximant consonant,lː,long voiced alveolar lateral approximant consonant
o_u0254,ɔ,,rounded open-mid back vowel,ɔ,rounded open-mid back vowel
o_u006F,o,,rounded close-mid back vowel,o,rounded close-mid back vowel
r_u027E,ɾ,,voiced alveolar tap consonant,ɾ,voiced alveolar tap consonant
hr_u02B0u027E,ʰɾ,,pre-aspirated voiced alveolar tap consonant,ʰɾ,pre-aspirated voiced alveolar tap consonant
e_u025Bu02D0,ɛː,,long unrounded open-mid front vowel,ɛː,long unrounded open-mid front vowel
v_u0076,v,,voiced labio-dental fricative consonant,v,voiced labio-dental fricative consonant
m_u006Du02D0,mː,,long voiced bilabial nasal consonant,mː,long voiced bilabial nasal consonant
lj_u006Cu02B2,lʲ,,palatalized voiced alveolar lateral approximant consonant,lʲ,palatalized voiced alveolar lateral approximant consonant
m_u006Du0325,m̥,,devoiced voiced bilabial nasal consonant,m̥,devoiced voiced bilabial nasal consonant
kw_u006Bu02B7u02BC,kʷʼ,,labialized voiceless velar ejective stop consonant,kʼʷ,labialized voiceless velar ejective stop consonant
w_u0077u0330,w̰,,creaky voiced labio-velar approximant consonant,w̰,creaky voiced labio-velar approximant consonant
e_u0065u0303,ẽ,,nasalized unrounded close-mid front vowel,ẽ,nasalized unrounded close-mid front vowel
tw_u0074u02B7,tʷ,,labialized voiceless alveolar stop consonant,tʷ,labialized voiceless alveolar stop consonant
dj_u0064u02B2,dʲ,,palatalized voiced alveolar stop consonant,dʲ,palatalized voiced alveolar stop consonant
cc_u0063u0063u0327,cç,,voiceless palatal affricate consonant,cç,voiceless palatal affricate consonant
w_u026F,ɯ,,unrounded close back vowel,ɯ,unrounded close back vowel
ps_u0070u0073,ps,,with-sibilant-release voiceless bilabial stop consonant,pˢ,with-sibilant-release voiceless bilabial stop consonant
r_u0294u027E,ʔɾ,,pre-glottalized voiced alveolar tap consonant,ˀɾ,pre-glottalized voiced alveolar tap consonant
