ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Value_in_Source
128,Aguaruna,r_u027E,ɾ,,,overall2007a,ɾ
129,Aguaruna,i_u0069,i,,,overall2007a,i
130,Aguaruna,i_u0069u0303,ĩ,,,overall2007a,ĩ
131,Aguaruna,i_u0268,ɨ,,,overall2007a,ɨ
132,Aguaruna,i_u0268u0303,ɨ̃,,,overall2007a,ɨ̃
133,Aguaruna,u_u0075,u,,,overall2007a,u
134,Aguaruna,u_u0075u0303,ũ,,,overall2007a,ũ
135,Aguaruna,a_u0061,a,,,overall2007a,a
136,Aguaruna,a_u0061u0303,ã,,,overall2007a,ã
137,Aikana,p_u0070,p,,,voort2010a,p
138,Aikana,t_u0074,t,,,voort2010a,t
139,Aikana,tx_u0074u02E3,tˣ,,,voort2010a,tˣ
140,Aikana,k_u006B,k,,,voort2010a,k
141,Aikana,_u0294,ʔ,,,voort2010a,ʔ
142,Aikana,b_u0062,b,,,voort2010a,b
143,Aikana,d_u0064,d,,,voort2010a,d
144,Aikana,ts_u0074u0073,ts,,,voort2010a,ts
145,Aikana,m_u006D,m,,,voort2010a,m
146,Aikana,n_u006E,n,,,voort2010a,n
147,Aikana,n_u0272,ɲ,,,voort2010a,ɲ
148,Aikana,d_u00F0u031E,ð̞,,,voort2010a,ð̞
149,Aikana,j_u006A,j,,,voort2010a,j
150,Aikana,w_u0077,w,,,voort2010a,w
151,Aikana,r_u027E,ɾ,,,voort2010a,ɾ
152,Aikana,i_u0069,i,,,voort2010a,i
153,Aikana,i_u0069u0303,ĩ,,,voort2010a,ĩ
154,Aikana,y_u0079,y,,,voort2010a,y
155,Aikana,u_u0075,u,,,voort2010a,u
156,Aikana,u_u0075u0303,ũ,,,voort2010a,ũ
157,Aikana,e_u0065,e,,,voort2010a,e
158,Aikana,e_u0065u0303,ẽ,,,voort2010a,ẽ
159,Aikana,o_u006F,o,,,voort2010a,o
160,Aikana,a_u0061,a,,,voort2010a,a
161,Aikana,a_u0061u0303,ã,,,voort2010a,ã
162,Aiwa,p_u0070,p,,,michael-ab,p
163,Aiwa,t_u0074,t,,,michael-ab,t
164,Aiwa,kj_u006Bu02B2,kʲ,,,michael-ab,kʲ
165,Aiwa,k_u006B,k,,,michael-ab,k
166,Aiwa,kw_u006Bu02B7,kʷ,,,michael-ab,kʷ
167,Aiwa,_u0294,ʔ,,,michael-ab,ʔ
168,Aiwa,ts_u0074u0073,ts,,,michael-ab,ts
169,Aiwa,ts_u0074u0283,tʃ,,,michael-ab,tʃ
170,Aiwa,s_u0073,s,,,michael-ab,s
171,Aiwa,s_u0283,ʃ,,,michael-ab,ʃ
172,Aiwa,h_u0068,h,,,michael-ab,h
173,Aiwa,m_u006D,m,,,michael-ab,m
174,Aiwa,n_u006E,n,,,michael-ab,n
175,Aiwa,j_u006A,j,,,michael-ab,j
176,Aiwa,w_u0077,w,,,michael-ab,w
177,Aiwa,r_u027E,ɾ,,,michael-ab,ɾ
178,Aiwa,l_u006C,l,,,michael-ab,l
179,Aiwa,i_u0069,i,,,michael-ab,i
180,Aiwa,i_u0069u0303,ĩ,,,michael-ab,ĩ
181,Aiwa,i_u0268,ɨ,,,michael-ab,ɨ
182,Aiwa,u_u0075,u,,,michael-ab,u
183,Aiwa,u_u0075u0303,ũ,,,michael-ab,ũ
184,Aiwa,e_u0065,e,,,michael-ab,e
185,Aiwa,o_u006F,o,,,michael-ab,o
186,Aiwa,o_u006Fu0303,õ,,,michael-ab,õ
187,Aiwa,a_u0061,a,,,michael-ab,a
188,Aiwa,a_u0061u0303,ã,,,michael-ab,ã
189,Akuntsu,p_u0070,p,,,aragon2005a,p
190,Akuntsu,t_u0074,t,,,aragon2005a,t
191,Akuntsu,k_u006B,k,,,aragon2005a,k
192,Akuntsu,kw_u006Bu02B7,kʷ,,,aragon2005a,kʷ
193,Akuntsu,_u0294,ʔ,,,aragon2005a,ʔ
194,Akuntsu,m_u006D,m,,,aragon2005a,m
195,Akuntsu,n_u006E,n,,,aragon2005a,n
196,Akuntsu,ng_u014B,ŋ,,,aragon2005a,ŋ
197,Akuntsu,j_u006A,j,,,aragon2005a,j
198,Akuntsu,w_u0077,w,,,aragon2005a,w
199,Akuntsu,r_u027E,ɾ,,,aragon2005a,ɾ
200,Akuntsu,i_u0069,i,,,aragon2005a,i
201,Akuntsu,i_u0069u0303,ĩ,,,aragon2005a,ĩ
202,Akuntsu,i_u0268,ɨ,,,aragon2005a,ɨ
203,Akuntsu,i_u0268u0303,ɨ̃,,,aragon2005a,ɨ̃
204,Akuntsu,u_u0075,u,,,aragon2005a,u
205,Akuntsu,u_u0075u0303,ũ,,,aragon2005a,ũ
206,Akuntsu,e_u025B,ɛ,,,aragon2005a,ɛ
207,Akuntsu,e_u025Bu0303,ɛ̃,,,aragon2005a,ɛ̃
208,Akuntsu,o_u0254,ɔ,,,aragon2005a,ɔ
209,Akuntsu,a_u0061,a,,,aragon2005a,a
210,Akuntsu,a_u0061u0303,ã,,,aragon2005a,ã
211,Akurio,p_u0070,p,,,meira1998a,p
212,Akurio,t_u0074,t,,,meira1998a,t
213,Akurio,ts_u0074u0283,tʃ,,,meira1998a,tʃ
214,Akurio,k_u006B,k,,,meira1998a,k
215,Akurio,_u0294,ʔ,,,meira1998a,ʔ
216,Akurio,m_u006D,m,,,meira1998a,m
217,Akurio,n_u006E,n,,,meira1998a,n
218,Akurio,j_u006A,j,,,meira1998a,j
219,Akurio,w_u0077,w,,,meira1998a,w
220,Akurio,r_u027E,ɾ,,,meira1998a,ɾ
221,Akurio,i_u0069,i,,,meira1998a,i
222,Akurio,i_u0069u02D0,iː,,,meira1998a,iː
223,Akurio,i_u0268,ɨ,,,meira1998a,ɨ
224,Akurio,i_u0268u02D0,ɨː,,,meira1998a,ɨː
225,Akurio,u_u0075,u,,,meira1998a,u
226,Akurio,u_u0075u02D0,uː,,,meira1998a,uː
227,Akurio,e_u0065,e,,,meira1998a,e
228,Akurio,e_u0065u02D0,eː,,,meira1998a,eː
229,Akurio,_u0259,ə,,,meira1998a,ə
230,Akurio,_u0259u02D0,əː,,,meira1998a,əː
231,Akurio,o_u006F,o,,,meira1998a,o
232,Akurio,o_u006Fu02D0,oː,,,meira1998a,oː
233,Akurio,a_u0061,a,,,meira1998a,a
234,Akurio,a_u0061u02D0,aː,,,meira1998a,aː
235,AlacalufeC,p_u0070u02BC,pʼ,,,viegas2005ab,pʼ
236,AlacalufeC,t_u0074u02BC,tʼ,,,viegas2005ab,tʼ
237,AlacalufeC,ts_u0074u0283u02BC,tʃʼ,,,viegas2005ab,tʃʼ
238,AlacalufeC,k_u006Bu02BC,kʼ,,,viegas2005ab,kʼ
239,AlacalufeC,p_u0070,p,,,viegas2005ab,p
240,AlacalufeC,t_u0074,t,,,viegas2005ab,t
241,AlacalufeC,ts_u0074u0283,tʃ,,,viegas2005ab,tʃ
242,AlacalufeC,k_u006B,k,,,viegas2005ab,k
243,AlacalufeC,q_u0071,q,,,viegas2005ab,q
244,AlacalufeC,f_u0066,f,,,viegas2005ab,f
245,AlacalufeC,s_u0073,s,,,viegas2005ab,s
246,AlacalufeC,h_u0068,h,,,viegas2005ab,h
247,AlacalufeC,n_u006E,n,,,viegas2005ab,n
